src,dst,idx,date
0,1,0.0116959064327485,08/22/2021
0,4,0.0116959064327485,08/22/2021
0,9,0.0760233918128654,08/22/2021
0,16,0.0409356725146198,08/22/2021
0,19,0.0350877192982456,08/22/2021
0,26,0.0292397660818713,08/22/2021
0,27,0.1461988304093567,08/22/2021
0,31,0.0116959064327485,08/22/2021
0,34,0.0116959064327485,08/22/2021
0,36,0.0292397660818713,08/22/2021
0,37,0.0116959064327485,08/22/2021
0,39,0.0116959064327485,08/22/2021
0,42,0.0175438596491228,08/22/2021
0,48,0.0467836257309941,08/22/2021
0,49,0.0526315789473684,08/22/2021
0,50,0.0116959064327485,08/22/2021
0,56,0.023391812865497,08/22/2021
1,0,0.0172413793103448,08/22/2021
1,5,0.0862068965517241,08/22/2021
1,8,0.0172413793103448,08/22/2021
1,9,0.1724137931034483,08/22/2021
1,11,0.0172413793103448,08/22/2021
1,16,0.0172413793103448,08/22/2021
1,19,0.0172413793103448,08/22/2021
1,21,0.0172413793103448,08/22/2021
1,24,0.0172413793103448,08/22/2021
1,26,0.0172413793103448,08/22/2021
1,27,0.0344827586206896,08/22/2021
1,30,0.0172413793103448,08/22/2021
1,35,0.0172413793103448,08/22/2021
1,36,0.0517241379310344,08/22/2021
1,39,0.1206896551724138,08/22/2021
1,42,0.0344827586206896,08/22/2021
1,48,0.0172413793103448,08/22/2021
1,49,0.0172413793103448,08/22/2021
1,60,0.0172413793103448,08/22/2021
2,16,0.1849593495934959,08/22/2021
2,25,0.0121951219512195,08/22/2021
2,27,0.0447154471544715,08/22/2021
2,28,0.0182926829268292,08/22/2021
2,31,0.0589430894308943,08/22/2021
2,34,0.0121951219512195,08/22/2021
2,35,0.0345528455284552,08/22/2021
2,52,0.0528455284552845,08/22/2021
3,2,0.0632911392405063,08/22/2021
3,9,0.0126582278481012,08/22/2021
3,16,0.189873417721519,08/22/2021
3,22,0.0253164556962025,08/22/2021
3,23,0.0253164556962025,08/22/2021
3,25,0.0253164556962025,08/22/2021
3,27,0.0253164556962025,08/22/2021
3,28,0.0886075949367088,08/22/2021
3,35,0.0253164556962025,08/22/2021
3,38,0.0126582278481012,08/22/2021
3,39,0.0126582278481012,08/22/2021
3,50,0.0632911392405063,08/22/2021
3,54,0.1392405063291139,08/22/2021
4,7,0.0220588235294117,08/22/2021
4,16,0.1029411764705882,08/22/2021
4,25,0.0220588235294117,08/22/2021
4,27,0.0514705882352941,08/22/2021
4,31,0.0147058823529411,08/22/2021
4,34,0.0441176470588235,08/22/2021
4,36,0.0441176470588235,08/22/2021
4,38,0.0294117647058823,08/22/2021
4,39,0.1617647058823529,08/22/2021
4,40,0.0147058823529411,08/22/2021
4,48,0.0367647058823529,08/22/2021
5,1,0.0155038759689922,08/22/2021
5,9,0.1317829457364341,08/22/2021
5,16,0.0232558139534883,08/22/2021
5,25,0.0155038759689922,08/22/2021
5,27,0.0310077519379844,08/22/2021
5,34,0.0387596899224806,08/22/2021
5,39,0.0310077519379844,08/22/2021
5,54,0.0155038759689922,08/22/2021
5,56,0.0155038759689922,08/22/2021
5,57,0.1007751937984496,08/22/2021
5,63,0.0155038759689922,08/22/2021
6,2,0.0185185185185185,08/22/2021
6,7,0.074074074074074,08/22/2021
6,8,0.074074074074074,08/22/2021
6,13,0.0185185185185185,08/22/2021
6,24,0.074074074074074,08/22/2021
6,30,0.0925925925925925,08/22/2021
6,34,0.1111111111111111,08/22/2021
6,36,0.0555555555555555,08/22/2021
6,40,0.037037037037037,08/22/2021
6,59,0.1296296296296296,08/22/2021
7,8,0.1135940409683426,08/22/2021
7,15,0.0111731843575419,08/22/2021
7,16,0.0763500931098696,08/22/2021
7,27,0.0167597765363128,08/22/2021
7,30,0.0353817504655493,08/22/2021
7,34,0.0521415270018622,08/22/2021
7,36,0.0297951582867784,08/22/2021
7,59,0.0167597765363128,08/22/2021
8,7,0.0786666666666666,08/22/2021
8,15,0.0293333333333333,08/22/2021
8,16,0.1,08/22/2021
8,27,0.02,08/22/2021
8,30,0.0306666666666666,08/22/2021
8,34,0.0413333333333333,08/22/2021
8,35,0.0173333333333333,08/22/2021
8,36,0.0266666666666666,08/22/2021
9,0,0.0117994100294985,08/22/2021
9,1,0.0147492625368731,08/22/2021
9,5,0.0265486725663716,08/22/2021
9,11,0.0280235988200589,08/22/2021
9,16,0.1047197640117994,08/22/2021
9,26,0.0221238938053097,08/22/2021
9,27,0.0398230088495575,08/22/2021
9,30,0.0103244837758112,08/22/2021
9,31,0.0132743362831858,08/22/2021
9,34,0.0162241887905604,08/22/2021
9,35,0.0206489675516224,08/22/2021
9,36,0.0117994100294985,08/22/2021
9,57,0.0103244837758112,08/22/2021
10,0,0.0222222222222222,08/22/2021
10,2,0.0222222222222222,08/22/2021
10,14,0.0222222222222222,08/22/2021
10,16,0.0666666666666666,08/22/2021
10,29,0.0888888888888888,08/22/2021
10,34,0.0222222222222222,08/22/2021
10,36,0.1333333333333333,08/22/2021
10,37,0.0444444444444444,08/22/2021
10,39,0.0222222222222222,08/22/2021
10,41,0.1333333333333333,08/22/2021
10,60,0.0222222222222222,08/22/2021
11,0,0.0352941176470588,08/22/2021
11,2,0.0235294117647058,08/22/2021
11,5,0.0117647058823529,08/22/2021
11,9,0.1764705882352941,08/22/2021
11,16,0.0352941176470588,08/22/2021
11,22,0.0117647058823529,08/22/2021
11,23,0.0117647058823529,08/22/2021
11,26,0.0235294117647058,08/22/2021
11,30,0.0117647058823529,08/22/2021
11,31,0.0117647058823529,08/22/2021
11,33,0.0117647058823529,08/22/2021
11,34,0.0117647058823529,08/22/2021
11,37,0.0117647058823529,08/22/2021
11,38,0.0117647058823529,08/22/2021
11,39,0.0235294117647058,08/22/2021
11,40,0.0117647058823529,08/22/2021
11,54,0.0235294117647058,08/22/2021
11,56,0.0588235294117647,08/22/2021
11,57,0.0117647058823529,08/22/2021
12,4,0.03125,08/22/2021
12,8,0.03125,08/22/2021
12,10,0.03125,08/22/2021
12,14,0.09375,08/22/2021
12,16,0.03125,08/22/2021
12,20,0.03125,08/22/2021
12,27,0.0625,08/22/2021
12,29,0.09375,08/22/2021
12,36,0.0625,08/22/2021
12,49,0.03125,08/22/2021
13,6,0.0222222222222222,08/22/2021
13,8,0.0444444444444444,08/22/2021
13,16,0.0222222222222222,08/22/2021
13,27,0.0666666666666666,08/22/2021
13,30,0.0666666666666666,08/22/2021
13,36,0.0888888888888888,08/22/2021
13,59,0.1777777777777777,08/22/2021
14,0,0.0112359550561797,08/22/2021
14,2,0.0112359550561797,08/22/2021
14,12,0.0449438202247191,08/22/2021
14,16,0.0898876404494382,08/22/2021
14,21,0.0112359550561797,08/22/2021
14,25,0.0224719101123595,08/22/2021
14,28,0.0112359550561797,08/22/2021
14,29,0.0112359550561797,08/22/2021
14,30,0.0337078651685393,08/22/2021
14,31,0.0112359550561797,08/22/2021
14,34,0.0112359550561797,08/22/2021
14,36,0.0337078651685393,08/22/2021
14,38,0.0112359550561797,08/22/2021
14,39,0.0112359550561797,08/22/2021
14,47,0.0112359550561797,08/22/2021
14,53,0.0112359550561797,08/22/2021
14,55,0.0112359550561797,08/22/2021
14,58,0.0112359550561797,08/22/2021
14,60,0.0112359550561797,08/22/2021
14,62,0.0112359550561797,08/22/2021
15,6,0.0236220472440944,08/22/2021
15,7,0.0629921259842519,08/22/2021
15,8,0.1496062992125984,08/22/2021
15,16,0.0393700787401574,08/22/2021
15,19,0.0157480314960629,08/22/2021
15,27,0.0314960629921259,08/22/2021
15,31,0.0157480314960629,08/22/2021
15,34,0.0472440944881889,08/22/2021
15,42,0.0236220472440944,08/22/2021
16,2,0.0522682445759368,08/22/2021
16,25,0.0276134122287968,08/22/2021
16,27,0.0414201183431952,08/22/2021
16,31,0.0650887573964497,08/22/2021
16,35,0.0433925049309664,08/22/2021
